Sortiernummer,Ebene0 Name,Ebene1 Kode,Ebene1 Name,Ebene 2 Kode,Ebene2 Name,Ebene3 Kode,Ebene3 Name,Ebene4 Kode,Ebene4 Name,Ebene5 Kode,Ebene5 Name,Ebene6 Kode,Ebene6 Name,IRIS Hierarchie Art,IRIS Hierarchie Nr,Kulturkürzel,Code (Antrag),Notiz,Nutzung1 ,Code1,Nutzung2,Code2,Nutzung3,Code3,Nutzung4,Code4,Nutzung5,Code5,Leguminose (ÖVF)
,,,,,,,,,,,,,Luzerne-Gras-Gemenge,,,,422,,,,,,,,,,,,
,,,,,,,,,,,,,Ackergras,,,,424,,,,,,,,,,,,
,,,,,,,,,,,,,Klee-Luzerne-Gemisch,,,,425,,,,,,,,,,,,
,,,,,,,,,,,,,"Kleemischungen (aus 421, 427, 431)",,,,432,,,,,,,,,,,,
,,,,,,,,,,,,,Leguminosenmischung (stickstoffbindend),,,,047,,,,,,,,,,,,
,,,,,,,,,,,,,Mähweiden,,,,452,,Mähweiden (Grünlandneueinsaat weniger als 5 jahre zurückliegend),442,,,,,,,,,
,,,,,,,,,,,,,Erbsen/Bohnengemenge,,,,240,,,,,,,,,,,,
,,,,,,,,,,,,,Körnerleguminosen/Getreide-Gemenge,,,,250,,,,,,,,,,,,
,,,,,,,,,,,,,Hutung,,,,454,,,,,,,,,,,,
,,,,,,,,,,,,,Almen und Alpen,,,,455,,,,,,,,,,,,
,,,,,,,,,,,,,Streuwiesen,,,,458,,,,,,,,,,,,
,,,,,,,,,,,,,Sommerschafweiden,,,,460,,,,,,,,,,,,
,,,,,,,,,,,,,Koppelschafweiden,,,,462,,,,,,,,,,,,
